"","Country_Region","Confirmed","Deaths","Recovered","Date","Region"
"214","Togo",1,0,0,"03-16-2020","West"
"215","Egypt",196,4,32,"03-17-2020","North"
"216","South Africa",62,0,0,"03-17-2020","South"
"217","Algeria",60,4,12,"03-17-2020","North"
"218","Morocco",38,2,1,"03-17-2020","North"
"219","Senegal",26,0,2,"03-17-2020","West"
"220","Tunisia",24,0,0,"03-17-2020","North"
"221","Burkina Faso",15,0,0,"03-17-2020","West"
"222","Cameroon",10,0,0,"03-17-2020","Central"
"223","Ghana",7,0,0,"03-17-2020","West"
"224","Rwanda",7,0,0,"03-17-2020","East"
"225","Cote d'Ivoire",5,0,1,"03-17-2020","West"
"226","Ethiopia",5,0,0,"03-17-2020","East"
"227","Seychelles",4,0,0,"03-17-2020","East"
"228","Congo (Kinshasa)",3,0,0,"03-17-2020","Central"
"229","Kenya",3,0,0,"03-17-2020","East"
"230","Nigeria",3,0,0,"03-17-2020","West"
"231","Namibia",2,0,0,"03-17-2020","South"
"232","Benin",1,0,0,"03-17-2020","West"
"233","Central African Republic",1,0,0,"03-17-2020","Central"
"234","Congo (Brazzaville)",1,0,0,"03-17-2020","Central"
"235","Equatorial Guinea",1,0,0,"03-17-2020","Central"
"236","Eswatini",1,0,0,"03-17-2020","South"
"237","Gabon",1,0,0,"03-17-2020","Central"
"238","Guinea",1,0,0,"03-17-2020","West"
"239","Liberia",1,0,0,"03-17-2020","West"
"240","Mauritania",1,0,0,"03-17-2020","North"
"241","Somalia",1,0,0,"03-17-2020","East"
"242","Sudan",1,1,0,"03-17-2020","East"
"243","Tanzania",1,0,0,"03-17-2020","East"
"244","Togo",1,0,0,"03-17-2020","West"
"245","Egypt",196,6,32,"03-18-2020","North"
"246","South Africa",116,0,0,"03-18-2020","South"
"247","Algeria",74,7,12,"03-18-2020","North"
"248","Morocco",49,2,1,"03-18-2020","North"
"249","Senegal",31,0,2,"03-18-2020","West"
"250","Tunisia",29,0,0,"03-18-2020","North"
"251","Burkina Faso",20,1,0,"03-18-2020","West"
"252","Cameroon",10,0,0,"03-18-2020","Central"
"253","Nigeria",8,0,1,"03-18-2020","West"
"254","Rwanda",8,0,0,"03-18-2020","East"
"255","Ghana",7,0,0,"03-18-2020","West"
"256","Cote d'Ivoire",6,0,1,"03-18-2020","West"
"257","Ethiopia",6,0,0,"03-18-2020","East"
"258","Congo (Kinshasa)",4,0,0,"03-18-2020","Central"
"259","Equatorial Guinea",4,0,0,"03-18-2020","Central"
"260","Seychelles",4,0,0,"03-18-2020","East"
"261","Kenya",3,0,0,"03-18-2020","East"
"262","Mauritius",3,0,0,"03-18-2020","East"
"263","Tanzania",3,0,0,"03-18-2020","East"
"264","Benin",2,0,0,"03-18-2020","West"
"265","Liberia",2,0,0,"03-18-2020","West"
"266","Namibia",2,0,0,"03-18-2020","South"
"267","Sudan",2,1,0,"03-18-2020","East"
"268","Zambia",2,0,0,"03-18-2020","South"
"269","Central African Republic",1,0,0,"03-18-2020","Central"
"270","Congo (Brazzaville)",1,0,0,"03-18-2020","Central"
"271","Djibouti",1,0,0,"03-18-2020","East"
"272","Eswatini",1,0,0,"03-18-2020","South"
"273","Gabon",1,0,0,"03-18-2020","Central"
"274","Guinea",1,0,0,"03-18-2020","West"
"275","Mauritania",1,0,0,"03-18-2020","North"
"276","Somalia",1,0,0,"03-18-2020","East"
"277","Togo",1,0,0,"03-18-2020","West"
"278","Egypt",256,6,32,"03-19-2020","North"
"279","South Africa",150,0,0,"03-19-2020","South"
"280","Algeria",87,9,32,"03-19-2020","North"
"281","Morocco",63,2,1,"03-19-2020","North"
"282","Tunisia",39,1,0,"03-19-2020","North"
"283","Burkina Faso",33,1,0,"03-19-2020","West"
"284","Senegal",31,0,2,"03-19-2020","West"
"285","Congo (Kinshasa)",14,0,0,"03-19-2020","Central"
"286","Cameroon",13,0,0,"03-19-2020","Central"
"287","Ghana",11,0,0,"03-19-2020","West"
"288","Cote d'Ivoire",9,0,1,"03-19-2020","West"
"289","Nigeria",8,0,1,"03-19-2020","West"
"290","Rwanda",8,0,0,"03-19-2020","East"
"291","Kenya",7,0,0,"03-19-2020","East"
"292","Equatorial Guinea",6,0,0,"03-19-2020","Central"
"293","Ethiopia",6,0,0,"03-19-2020","East"
"294","Seychelles",6,0,0,"03-19-2020","East"
"295","Tanzania",6,0,0,"03-19-2020","East"
"296","Congo (Brazzaville)",3,0,0,"03-19-2020","Central"
"297","Mauritius",3,0,0,"03-19-2020","East"
"298","Namibia",3,0,0,"03-19-2020","South"
"299","Benin",2,0,0,"03-19-2020","West"
"300","Liberia",2,0,0,"03-19-2020","West"
"301","Mauritania",2,0,0,"03-19-2020","North"
"302","Sudan",2,1,0,"03-19-2020","East"
"303","Zambia",2,0,0,"03-19-2020","South"
"304","Central African Republic",1,0,0,"03-19-2020","Central"
"305","Chad",1,0,0,"03-19-2020","Central"
"306","Djibouti",1,0,0,"03-19-2020","East"
"307","Eswatini",1,0,0,"03-19-2020","South"
"308","Gabon",1,0,0,"03-19-2020","Central"
"309","Guinea",1,0,0,"03-19-2020","West"
"310","Somalia",1,0,0,"03-19-2020","East"
"311","Togo",1,0,0,"03-19-2020","West"
"312","Egypt",285,8,39,"03-20-2020","North"
"313","South Africa",202,0,0,"03-20-2020","South"
"314","Algeria",90,11,32,"03-20-2020","North"
"315","Morocco",77,3,1,"03-20-2020","North"
"316","Tunisia",54,1,0,"03-20-2020","North"
"317","Burkina Faso",40,1,0,"03-20-2020","West"
"318","Senegal",38,0,2,"03-20-2020","West"
"319","Cameroon",20,0,0,"03-20-2020","Central"
"320","Congo (Kinshasa)",18,0,0,"03-20-2020","Central"
"321","Rwanda",17,0,0,"03-20-2020","East"
"322","Ghana",16,0,0,"03-20-2020","West"
"323","Mauritius",12,0,0,"03-20-2020","East"
"324","Nigeria",12,0,1,"03-20-2020","West"
"325","Cote d'Ivoire",9,0,1,"03-20-2020","West"
"326","Ethiopia",9,0,0,"03-20-2020","East"
"327","Togo",9,0,1,"03-20-2020","West"
"328","Kenya",7,0,0,"03-20-2020","East"
"329","Seychelles",7,0,0,"03-20-2020","East"
"330","Equatorial Guinea",6,0,0,"03-20-2020","Central"
