"","Country_Region","Exposure","Date","Region","LastExposure","LastDate","lnsdi","lnurban","lnp70p","lnhhsn","lnihr2018","lnsqualty"
"44","Benin",296,2021-01-05,"West",294,2021-01-03,-0.994252264499664,-0.798507750034332,0.6931471824646,1.6448050737381,3.55534815788269,3.465735912323
"45","Benin",297,2021-01-06,"West",294,2021-01-03,-0.994252264499664,-0.798507750034332,0.6931471824646,1.6448050737381,3.55534815788269,3.465735912323
"46","Benin",298,2021-01-07,"West",294,2021-01-03,-0.994252264499664,-0.798507750034332,0.6931471824646,1.6448050737381,3.55534815788269,3.465735912323
"47","Benin",299,2021-01-08,"West",294,2021-01-03,-0.994252264499664,-0.798507750034332,0.6931471824646,1.6448050737381,3.55534815788269,3.465735912323
"48","Benin",300,2021-01-09,"West",294,2021-01-03,-0.994252264499664,-0.798507750034332,0.6931471824646,1.6448050737381,3.55534815788269,3.465735912323
"49","Benin",301,2021-01-10,"West",294,2021-01-03,-0.994252264499664,-0.798507750034332,0.6931471824646,1.6448050737381,3.55534815788269,3.465735912323
"50","Benin",302,2021-01-11,"West",294,2021-01-03,-0.994252264499664,-0.798507750034332,0.6931471824646,1.6448050737381,3.55534815788269,3.465735912323
"51","Benin",303,2021-01-12,"West",294,2021-01-03,-0.994252264499664,-0.798507750034332,0.6931471824646,1.6448050737381,3.55534815788269,3.465735912323
"52","Benin",304,2021-01-13,"West",294,2021-01-03,-0.994252264499664,-0.798507750034332,0.6931471824646,1.6448050737381,3.55534815788269,3.465735912323
"53","Benin",305,2021-01-14,"West",294,2021-01-03,-0.994252264499664,-0.798507750034332,0.6931471824646,1.6448050737381,3.55534815788269,3.465735912323
"54","Benin",306,2021-01-15,"West",294,2021-01-03,-0.994252264499664,-0.798507750034332,0.6931471824646,1.6448050737381,3.55534815788269,3.465735912323
"55","Benin",307,2021-01-16,"West",294,2021-01-03,-0.994252264499664,-0.798507750034332,0.6931471824646,1.6448050737381,3.55534815788269,3.465735912323
"56","Benin",308,2021-01-17,"West",294,2021-01-03,-0.994252264499664,-0.798507750034332,0.6931471824646,1.6448050737381,3.55534815788269,3.465735912323
"57","Benin",309,2021-01-18,"West",294,2021-01-03,-0.994252264499664,-0.798507750034332,0.6931471824646,1.6448050737381,3.55534815788269,3.465735912323
"58","Benin",310,2021-01-19,"West",294,2021-01-03,-0.994252264499664,-0.798507750034332,0.6931471824646,1.6448050737381,3.55534815788269,3.465735912323
"59","Benin",311,2021-01-20,"West",294,2021-01-03,-0.994252264499664,-0.798507750034332,0.6931471824646,1.6448050737381,3.55534815788269,3.465735912323
"60","Benin",312,2021-01-21,"West",294,2021-01-03,-0.994252264499664,-0.798507750034332,0.6931471824646,1.6448050737381,3.55534815788269,3.465735912323
"61","Benin",313,2021-01-22,"West",294,2021-01-03,-0.994252264499664,-0.798507750034332,0.6931471824646,1.6448050737381,3.55534815788269,3.465735912323
"62","Benin",314,2021-01-23,"West",294,2021-01-03,-0.994252264499664,-0.798507750034332,0.6931471824646,1.6448050737381,3.55534815788269,3.465735912323
"63","Benin",315,2021-01-24,"West",294,2021-01-03,-0.994252264499664,-0.798507750034332,0.6931471824646,1.6448050737381,3.55534815788269,3.465735912323
"64","Botswana",281,2021-01-04,"South",280,2021-01-03,-0.371063679456711,-0.35667496919632,1.0986123085022,1.55392515659332,3.25809645652771,3.97029185295105
"65","Botswana",282,2021-01-05,"South",280,2021-01-03,-0.371063679456711,-0.35667496919632,1.0986123085022,1.55392515659332,3.25809645652771,3.97029185295105
"66","Botswana",283,2021-01-06,"South",280,2021-01-03,-0.371063679456711,-0.35667496919632,1.0986123085022,1.55392515659332,3.25809645652771,3.97029185295105
"67","Botswana",284,2021-01-07,"South",280,2021-01-03,-0.371063679456711,-0.35667496919632,1.0986123085022,1.55392515659332,3.25809645652771,3.97029185295105
"68","Botswana",285,2021-01-08,"South",280,2021-01-03,-0.371063679456711,-0.35667496919632,1.0986123085022,1.55392515659332,3.25809645652771,3.97029185295105
"69","Botswana",286,2021-01-09,"South",280,2021-01-03,-0.371063679456711,-0.35667496919632,1.0986123085022,1.55392515659332,3.25809645652771,3.97029185295105
"70","Botswana",287,2021-01-10,"South",280,2021-01-03,-0.371063679456711,-0.35667496919632,1.0986123085022,1.55392515659332,3.25809645652771,3.97029185295105
"71","Botswana",288,2021-01-11,"South",280,2021-01-03,-0.371063679456711,-0.35667496919632,1.0986123085022,1.55392515659332,3.25809645652771,3.97029185295105
"72","Botswana",289,2021-01-12,"South",280,2021-01-03,-0.371063679456711,-0.35667496919632,1.0986123085022,1.55392515659332,3.25809645652771,3.97029185295105
"73","Botswana",290,2021-01-13,"South",280,2021-01-03,-0.371063679456711,-0.35667496919632,1.0986123085022,1.55392515659332,3.25809645652771,3.97029185295105
"74","Botswana",291,2021-01-14,"South",280,2021-01-03,-0.371063679456711,-0.35667496919632,1.0986123085022,1.55392515659332,3.25809645652771,3.97029185295105
"75","Botswana",292,2021-01-15,"South",280,2021-01-03,-0.371063679456711,-0.35667496919632,1.0986123085022,1.55392515659332,3.25809645652771,3.97029185295105
"76","Botswana",293,2021-01-16,"South",280,2021-01-03,-0.371063679456711,-0.35667496919632,1.0986123085022,1.55392515659332,3.25809645652771,3.97029185295105
"77","Botswana",294,2021-01-17,"South",280,2021-01-03,-0.371063679456711,-0.35667496919632,1.0986123085022,1.55392515659332,3.25809645652771,3.97029185295105
"78","Botswana",295,2021-01-18,"South",280,2021-01-03,-0.371063679456711,-0.35667496919632,1.0986123085022,1.55392515659332,3.25809645652771,3.97029185295105
"79","Botswana",296,2021-01-19,"South",280,2021-01-03,-0.371063679456711,-0.35667496919632,1.0986123085022,1.55392515659332,3.25809645652771,3.97029185295105
"80","Botswana",297,2021-01-20,"South",280,2021-01-03,-0.371063679456711,-0.35667496919632,1.0986123085022,1.55392515659332,3.25809645652771,3.97029185295105
"81","Botswana",298,2021-01-21,"South",280,2021-01-03,-0.371063679456711,-0.35667496919632,1.0986123085022,1.55392515659332,3.25809645652771,3.97029185295105
"82","Botswana",299,2021-01-22,"South",280,2021-01-03,-0.371063679456711,-0.35667496919632,1.0986123085022,1.55392515659332,3.25809645652771,3.97029185295105
"83","Botswana",300,2021-01-23,"South",280,2021-01-03,-0.371063679456711,-0.35667496919632,1.0986123085022,1.55392515659332,3.25809645652771,3.97029185295105
"84","Botswana",301,2021-01-24,"South",280,2021-01-03,-0.371063679456711,-0.35667496919632,1.0986123085022,1.55392515659332,3.25809645652771,3.97029185295105
"85","Burkina Faso",301,2021-01-04,"West",300,2021-01-03,-1.34707367420197,-1.23787438869476,0.6931471824646,1.77833640575409,3.36729574203491,3.40119743347168
"86","Burkina Faso",302,2021-01-05,"West",300,2021-01-03,-1.34707367420197,-1.23787438869476,0.6931471824646,1.77833640575409,3.36729574203491,3.40119743347168
"87","Burkina Faso",303,2021-01-06,"West",300,2021-01-03,-1.34707367420197,-1.23787438869476,0.6931471824646,1.77833640575409,3.36729574203491,3.40119743347168
"88","Burkina Faso",304,2021-01-07,"West",300,2021-01-03,-1.34707367420197,-1.23787438869476,0.6931471824646,1.77833640575409,3.36729574203491,3.40119743347168
"89","Burkina Faso",305,2021-01-08,"West",300,2021-01-03,-1.34707367420197,-1.23787438869476,0.6931471824646,1.77833640575409,3.36729574203491,3.40119743347168
"90","Burkina Faso",306,2021-01-09,"West",300,2021-01-03,-1.34707367420197,-1.23787438869476,0.6931471824646,1.77833640575409,3.36729574203491,3.40119743347168
"91","Burkina Faso",307,2021-01-10,"West",300,2021-01-03,-1.34707367420197,-1.23787438869476,0.6931471824646,1.77833640575409,3.36729574203491,3.40119743347168
"92","Burkina Faso",308,2021-01-11,"West",300,2021-01-03,-1.34707367420197,-1.23787438869476,0.6931471824646,1.77833640575409,3.36729574203491,3.40119743347168
"93","Burkina Faso",309,2021-01-12,"West",300,2021-01-03,-1.34707367420197,-1.23787438869476,0.6931471824646,1.77833640575409,3.36729574203491,3.40119743347168
"94","Burkina Faso",310,2021-01-13,"West",300,2021-01-03,-1.34707367420197,-1.23787438869476,0.6931471824646,1.77833640575409,3.36729574203491,3.40119743347168
"95","Burkina Faso",311,2021-01-14,"West",300,2021-01-03,-1.34707367420197,-1.23787438869476,0.6931471824646,1.77833640575409,3.36729574203491,3.40119743347168
"96","Burkina Faso",312,2021-01-15,"West",300,2021-01-03,-1.34707367420197,-1.23787438869476,0.6931471824646,1.77833640575409,3.36729574203491,3.40119743347168
"97","Burkina Faso",313,2021-01-16,"West",300,2021-01-03,-1.34707367420197,-1.23787438869476,0.6931471824646,1.77833640575409,3.36729574203491,3.40119743347168
